HS300,A股投资者增速,A股换手率,ETF 净赎回力度,融资余额增速,沪深300期指当月溢价率,50ETF PCR,沪深300相对强弱指标,上涨家数占比,情绪指标,Class
3190,58,69,49.62406015,100,95,49.68944099,17,26,60.83333333,0
3067.37,57,60,49.62406015,100,97,49.68944099,9,4,54.5,0
2836.79,42,47,49.62406015,100,99,49.68944099,6,15,51.5,1
2868.02,55,59,49.62406015,99,37,49.68944099,14,44,51.33333333,0
2768.79,54,47,49.62406015,99,17,49.68944099,10,14,40.16666667,1
2850.3,56,42,49.62406015,99,86,49.68944099,9,73,60.83333333,0
2744.39,48,30,49.62406015,97,87,49.68944099,5,7,45.66666667,1
2758.87,50,46,49.62406015,96,71,49.68944099,7,61,55.16666667,0
2696.17,27,26,49.62406015,97,91,49.68944099,5,6,42,1
2736.29,55,17,49.62406015,96,88,49.68944099,5,60,53.5,0
2534.11,53,14,49.62406015,90,80,49.68944099,2,1,40,1
2647.1,44,16,49.62406015,98,60,49.68944099,3,83,50.66666667,0
2616.13,45,24,49.62406015,98,16,49.68944099,3,14,33.33333333,1
2793.08,48,50,49.62406015,96,26,49.68944099,13,86,53.16666667,1
2868.85,54,53,49.62406015,95,59,49.68944099,26,77,60.66666667,1
2897.66,46,59,49.62406015,97,92,49.68944099,33,59,64.33333333,0
2855.55,48,55,49.62406015,92,49,49.68944099,45,24,52.16666667,1
2898.33,50,65,49.62406015,95,82,49.68944099,46,51,64.83333333,0
2858.57,50,45,49.62406015,95,84,49.68944099,50,32,59.33333333,1
2920.21,49,70,49.62406015,93,82,49.68944099,48,56,66.33333333,1
2932.55,49,69,49.62406015,92,75,49.68944099,59,45,64.83333333,0
2861.37,52,63,49.62406015,94,67,49.68944099,52,17,57.5,0
2857.48,26,26,49.62406015,66,84,49.68944099,58,32,48.66666667,1
2935.57,46,44,49.62406015,82,89,49.68944099,60,66,64.5,1
3044.23,6,70,49.62406015,85,78,49.68944099,85,89,68.83333333,1
3327.68,56,75,49.62406015,88,18,49.68944099,90,58,64.16666667,1
3378.66,68,84,49.62406015,98,100,49.68944099,93,61,84,1
3379.98,72,81,49.62406015,99,97,49.68944099,90,54,82.16666667,1
3520.8,74,82,49.62406015,96,98,49.68944099,92,71,85.5,0
3291.83,84,79,49.62406015,98,40,49.68944099,71,12,64,0
3178.85,73,76,49.62406015,80,4,49.68944099,66,30,54.83333333,1
3194.85,66,58,49.62406015,66,90,49.68944099,64,47,65.16666667,0
3158.16,57,56,49.62406015,67,87,49.68944099,64,20,58.5,1
3161.98,51,34,49.62406015,87,77,49.68944099,61,37,57.83333333,1
3225.66,52,47,49.62406015,97,40,49.68944099,63,76,62.5,0
3162.96,53,41,49.62406015,74,96,49.68944099,65,10,56.5,0
3128.26,50,23,49.62406015,86,95,49.68944099,62,28,57.33333333,1
3166.62,32,42,49.62406015,88,66,49.68944099,60,57,57.5,0
3091.86,38,20,49.62406015,63,68,49.68944099,47,9,40.83333333,0
2983.46,40,13,49.62406015,71,56,49.68944099,11,9,33.33333333,1
3036.74,41,12,49.62406015,66,76,49.68944099,12,63,45,1
3077.28,9,10,49.62406015,69,75,49.68944099,18,71,42,1
3120.96,29,26,49.62406015,70,41,49.68944099,7,77,41.66666667,1
3211.88,57,55,49.62406015,74,59,49.68944099,35,74,59,0
3197.62,65,50,49.62406015,91,87,49.68944099,45,40,63,1
3270.67,60,51,49.62406015,76,89,49.68944099,51,57,64,0
3247.38,66,54,49.62406015,93,60,49.68944099,54,34,60.16666667,0
3215.69,65,52,49.62406015,86,62,49.68944099,47,23,55.83333333,1
3294.48,68,38,49.62406015,70,64,49.68944099,50,66,59.33333333,0
3272.73,70,49,49.62406015,83,63,49.68944099,56,19,56.66666667,1
3353.36,30,43,49.62406015,78,81,49.68944099,66,77,62.5,1
3358.94,46,45,49.62406015,94,17,49.68944099,62,52,52.66666667,0
3299.94,47,44,49.62406015,84,74,49.68944099,66,36,58.5,0
3192.72,46,17,49.62406015,43,53,49.68944099,67,7,38.83333333,0
3121.4,30,15,49.62406015,11,79,49.68944099,54,41,38.33333333,1
3128.09,37,13,49.62406015,38,48,49.68944099,48,50,39,0
3121.6,39,16,49.62406015,73,55,49.68944099,42,37,43.66666667,0
2963.31,43,10,49.62406015,53,88,49.68944099,12,1,34.5,1
2986.35,38,7,49.62406015,54,52,49.68944099,18,64,38.83333333,0
2961.93,28,8,49.62406015,49,21,49.68944099,6,37,24.83333333,0
2892.16,39,8,49.62406015,49,93,49.68944099,4,16,34.83333333,1
3027.47,45,4,49.62406015,87,81,49.68944099,25,92,55.66666667,1
3049.75,49,22,49.62406015,83,51,49.68944099,17,70,48.66666667,1
3109.18,35,30,49.62406015,78,79,49.68944099,27,82,55.16666667,1
3128.89,36,27,49.62406015,75,33,49.68944099,19,62,42,0
3067.99,39,32,49.62406015,65,72,49.68944099,13,16,39.5,0
2972.08,40,15,49.62406015,37,49,49.68944099,10,12,27.16666667,0
2897.42,34,9,49.62406015,33,48,49.68944099,12,25,26.83333333,0
2875.37,39,22,49.62406015,47,21,49.68944099,15,41,30.83333333,0
2807.66,39,18,49.62406015,50,21,49.68944099,9,10,24.5,1
2901.22,40,8,49.62406015,58,32,49.68944099,24,87,41.5,0
2803.85,37,12,49.62406015,29,67,49.68944099,28,2,29.16666667,0
2751.1,32,2,49.62406015,25,48,49.68944099,20,19,24.33333333,0
2733.99,27,1,49.62406015,22,61,49.68944099,21,36,28,0
2669.48,40,4,49.62406015,32,47,49.68944099,20,10,25.5,0
2581.35,43,2,49.62406015,16,26,49.68944099,3,4,15.66666667,1
2653.78,28,5,49.62406015,6,60,49.68944099,6,89,32.33333333,0
2507.88,31,3,49.62406015,22,74,49.68944099,2,3,22.5,1
2709.02,36,16,49.62406015,11,34,49.68944099,13,99,34.83333333,1
2763.75,35,31,49.62406015,67,77,49.68944099,23,85,53,0
2695,34,13,49.62406015,82,50,49.68944099,24,18,36.83333333,0
2606.5,35,15,49.62406015,73,58,49.68944099,23,6,35,0
2569.97,34,2,49.62406015,52,61,49.68944099,22,26,32.83333333,0
2557.31,33,7,49.62406015,24,73,49.68944099,25,29,31.83333333,0
2503.46,29,1,49.62406015,24,72,49.68944099,11,20,26.16666667,0
2390.13,32,1,49.62406015,33,7,49.68944099,9,9,15.16666667,0
2359.16,35,2,49.62406015,42,55,49.68944099,10,33,29.5,0
2345.74,33,1,49.62406015,24,79,49.68944099,10,44,31.83333333,0
2290.6,5,1,49.62406015,13,72,49.68944099,10,12,18.83333333,1
2394.33,24,11,49.62406015,7,86,49.68944099,29,89,41,1
2504.09,21,5,49.62406015,5,35,49.68944099,31,80,29.5,1
2506.09,26,3,49.62406015,13,61,49.68944099,43,60,34.33333333,1
2533.62,32,11,49.62406015,71,46,49.68944099,25,77,43.66666667,1
2537.09,36,14,49.62406015,71,52,49.68944099,18,65,42.66666667,1
2648.02,41,30,49.62406015,69,78,49.68944099,38,96,58.66666667,1
2679.93,44,30,49.62406015,73,67,49.68944099,52,64,55,0
2664.3,37,27,49.62406015,89,54,49.68944099,55,52,52.33333333,0
2623.52,42,45,49.62406015,84,12,49.68944099,50,23,42.66666667,0
2552.94,41,20,49.62406015,76,89,49.68944099,48,5,46.5,0
2454.9,44,6,49.62406015,41,47,49.68944099,51,7,32.66666667,1
2519.83,3,9,49.62406015,14,54,49.68944099,60,94,39,1
2580.45,15,10,49.62406015,29,69,49.68944099,67,92,47,1
2626.84,20,17,49.62406015,42,35,49.68944099,76,80,45,0
2626.16,24,26,49.62406015,45,81,49.68944099,71,42,48.16666667,1
2715.88,6,27,49.62406015,44,55,49.68944099,68,93,48.83333333,0
2636.92,19,20,49.62406015,84,36,49.68944099,58,21,39.66666667,0
